CustomerID,City,Vehicle_Model,Subscription_Plan,Rate_Per_KM,Monthly_Fee,Account_Status
CUST-0032,Pune,Tata Punch EV,Fixed-Monthly,,2000.0,Suspended
CUST-0033,Pune,Maruti e Vitara,Pay-Per-KM,3.17,,Defaulted
CUST-0034,Bengaluru,MG Windsor EV,Fixed-Monthly,,2000.0,Active
CUST-0035,Delhi,Tata Punch EV,Pay-Per-KM,4.44,,Active
CUST-0036,Delhi,Tata Punch EV,Pay-Per-KM,3.46,,Active
CUST-0037,Delhi,Tata Punch EV,Fixed-Monthly,,2000.0,Active
CUST-0038,Delhi,Maruti e Vitara,Fixed-Monthly,,1500.0,Active
CUST-0039,Bengaluru,MG Windsor EV,Pay-Per-KM,4.2,,Suspended
CUST-0040,Delhi,MG Windsor EV,Fixed-Monthly,,2000.0,Suspended
CUST-0041,Pune,MG Windsor EV,Pay-Per-KM,4.49,,Active
CUST-0042,Bengaluru,Maruti e Vitara,Fixed-Monthly,,2500.0,Defaulted
CUST-0043,Delhi,Maruti e Vitara,Pay-Per-KM,4.44,,Defaulted
CUST-0044,Delhi,Maruti e Vitara,Pay-Per-KM,3.3,,Suspended
CUST-0045,Delhi,MG Windsor EV,Pay-Per-KM,2.76,,Active
CUST-0046,Bengaluru,Tata Punch EV,Pay-Per-KM,3.35,,Suspended
CUST-0047,Bengaluru,MG Windsor EV,Pay-Per-KM,3.08,,Defaulted
CUST-0048,Delhi,Tata Punch EV,Fixed-Monthly,,3000.0,Active
CUST-0049,Delhi,Tata Punch EV,Pay-Per-KM,3.99,,Defaulted
CUST-0050,Pune,Tata Punch EV,Pay-Per-KM,4.25,,Active
CUST-0051,Pune,Maruti e Vitara,Pay-Per-KM,3.92,,Active
CUST-0052,Delhi,MG Windsor EV,Fixed-Monthly,,1500.0,Active
CUST-0053,Bengaluru,Tata Punch EV,Pay-Per-KM,3.16,,Suspended
CUST-0054,Pune,MG Windsor EV,Pay-Per-KM,3.58,,Defaulted
CUST-0055,Delhi,Maruti e Vitara,Pay-Per-KM,3.16,,Defaulted
CUST-0056,Pune,Tata Punch EV,Fixed-Monthly,,3000.0,Active
CUST-0057,Bengaluru,Tata Punch EV,Fixed-Monthly,,2000.0,Active
CUST-0058,Bengaluru,Maruti e Vitara,Fixed-Monthly,,2000.0,Active
CUST-0059,Delhi,Maruti e Vitara,Pay-Per-KM,2.65,,Active
CUST-0060,Delhi,MG Windsor EV,Fixed-Monthly,,2500.0,Active
CUST-0061,Delhi,Maruti e Vitara,Pay-Per-KM,3.3,,Defaulted
CUST-0062,Pune,MG Windsor EV,Fixed-Monthly,,2000.0,Active
CUST-0063,Bengaluru,Tata Punch EV,Pay-Per-KM,3.39,,Defaulted
CUST-0064,Pune,MG Windsor EV,Fixed-Monthly,,2500.0,Active
CUST-0065,Bengaluru,MG Windsor EV,Pay-Per-KM,3.27,,Active
CUST-0066,Bengaluru,Maruti e Vitara,Fixed-Monthly,,2500.0,Defaulted
CUST-0067,Pune,Maruti e Vitara,Pay-Per-KM,3.07,,Defaulted
CUST-0068,Pune,Tata Punch EV,Pay-Per-KM,3.26,,Active
CUST-0069,Delhi,Tata Punch EV,Fixed-Monthly,,2000.0,Active
CUST-0070,Delhi,Tata Punch EV,Fixed-Monthly,,2000.0,Suspended
CUST-0071,Pune,MG Windsor EV,Pay-Per-KM,4.19,,Suspended
CUST-0072,Pune,Tata Punch EV,Fixed-Monthly,,1500.0,Suspended
CUST-0073,Bengaluru,MG Windsor EV,Pay-Per-KM,3.78,,Suspended
CUST-0074,Delhi,MG Windsor EV,Pay-Per-KM,2.86,,Active
CUST-0075,Delhi,Maruti e Vitara,Pay-Per-KM,3.37,,Active
CUST-0076,Pune,Maruti e Vitara,Fixed-Monthly,,2500.0,Defaulted
CUST-0077,Pune,MG Windsor EV,Fixed-Monthly,,2500.0,Active
CUST-0078,Bengaluru,Tata Punch EV,Pay-Per-KM,3.17,,Defaulted
CUST-0079,Bengaluru,Tata Punch EV,Pay-Per-KM,3.84,,Active
CUST-0080,Delhi,Maruti e Vitara,Fixed-Monthly,,2000.0,Active
CUST-0081,Bengaluru,Tata Punch EV,Pay-Per-KM,4.34,,Suspended
CUST-0082,Pune,MG Windsor EV,Pay-Per-KM,4.33,,Active
CUST-0083,Delhi,Tata Punch EV,Pay-Per-KM,3.53,,Defaulted
CUST-0084,Delhi,Tata Punch EV,Fixed-Monthly,,2500.0,Active
CUST-0085,Bengaluru,MG Windsor EV,Fixed-Monthly,,2000.0,Defaulted
CUST-0086,Pune,Maruti e Vitara,Fixed-Monthly,,1500.0,Defaulted
CUST-0087,Bengaluru,Maruti e Vitara,Pay-Per-KM,4.42,,Active
CUST-0088,Delhi,Maruti e Vitara,Fixed-Monthly,,2000.0,Defaulted
CUST-0089,Delhi,Maruti e Vitara,Pay-Per-KM,4.44,,Active
CUST-0090,Delhi,MG Windsor EV,Fixed-Monthly,,1500.0,Active
CUST-0091,Bengaluru,MG Windsor EV,Pay-Per-KM,4.05,,Active
CUST-0092,Delhi,Tata Punch EV,Pay-Per-KM,3.68,,Suspended
CUST-0093,Bengaluru,Maruti e Vitara,Pay-Per-KM,4.29,,Suspended
CUST-0094,Bengaluru,MG Windsor EV,Pay-Per-KM,3.09,,Active
CUST-0095,Bengaluru,MG Windsor EV,Pay-Per-KM,3.41,,Active
CUST-0096,Delhi,Maruti e Vitara,Pay-Per-KM,3.23,,Active
CUST-0097,Bengaluru,Tata Punch EV,Pay-Per-KM,4.46,,Defaulted
CUST-0098,Pune,Tata Punch EV,Fixed-Monthly,,3000.0,Defaulted
CUST-0099,Bengaluru,Maruti e Vitara,Pay-Per-KM,4.31,,Defaulted
CUST-0100,Bengaluru,Maruti e Vitara,Pay-Per-KM,3.32,,Active
CUST-0101,Bengaluru,Tata Punch EV,Fixed-Monthly,,2500.0,Active
CUST-0102,Pune,Maruti e Vitara,Pay-Per-KM,3.84,,Active
CUST-0103,Bengaluru,Maruti e Vitara,Fixed-Monthly,,3000.0,Defaulted
CUST-0104,Pune,Tata Punch EV,Fixed-Monthly,,2000.0,Defaulted
CUST-0105,Bengaluru,Maruti e Vitara,Fixed-Monthly,,1500.0,Active
CUST-0106,Delhi,Tata Punch EV,Pay-Per-KM,3.39,,Active
CUST-0107,Delhi,Tata Punch EV,Pay-Per-KM,3.15,,Defaulted
CUST-0108,Bengaluru,Tata Punch EV,Fixed-Monthly,,3000.0,Active
CUST-0109,Bengaluru,Maruti e Vitara,Fixed-Monthly,,2500.0,Defaulted
CUST-0110,Bengaluru,Maruti e Vitara,Fixed-Monthly,,1500.0,Active
CUST-0111,Pune,Maruti e Vitara,Fixed-Monthly,,2500.0,Active
CUST-0112,Bengaluru,Maruti e Vitara,Pay-Per-KM,2.66,,Active
CUST-0113,Pune,Maruti e Vitara,Fixed-Monthly,,1500.0,Suspended
CUST-0114,Pune,MG Windsor EV,Pay-Per-KM,3.19,,Suspended
CUST-0115,Delhi,Tata Punch EV,Fixed-Monthly,,3000.0,Suspended
CUST-0116,Bengaluru,Maruti e Vitara,Pay-Per-KM,3.9,,Defaulted
CUST-0117,Delhi,Maruti e Vitara,Pay-Per-KM,3.42,,Active
CUST-0118,Delhi,Tata Punch EV,Pay-Per-KM,4.25,,Suspended
CUST-0119,Pune,Tata Punch EV,Fixed-Monthly,,1500.0,Suspended
CUST-0120,Pune,Maruti e Vitara,Pay-Per-KM,4.47,,Active
CUST-0121,Delhi,Maruti e Vitara,Pay-Per-KM,3.01,,Active
CUST-0122,Delhi,MG Windsor EV,Fixed-Monthly,,1500.0,Active
CUST-0123,Bengaluru,Tata Punch EV,Fixed-Monthly,,2000.0,Active
CUST-0124,Delhi,Maruti e Vitara,Pay-Per-KM,4.17,,Active
CUST-0125,Bengaluru,Tata Punch EV,Fixed-Monthly,,2500.0,Active
CUST-0126,Delhi,MG Windsor EV,Fixed-Monthly,,2500.0,Active
CUST-0127,Bengaluru,Maruti e Vitara,Fixed-Monthly,,2500.0,Active
CUST-0128,Pune,Maruti e Vitara,Fixed-Monthly,,2500.0,Suspended
CUST-0129,Delhi,MG Windsor EV,Fixed-Monthly,,3000.0,Suspended
CUST-0130,Pune,Maruti e Vitara,Fixed-Monthly,,2000.0,Active
CUST-0131,Pune,Maruti e Vitara,Pay-Per-KM,3.0,,Active
CUST-0132,Delhi,Maruti e Vitara,Fixed-Monthly,,2000.0,Active
CUST-0133,Bengaluru,Tata Punch EV,Fixed-Monthly,,2000.0,Suspended
CUST-0134,Pune,MG Windsor EV,Pay-Per-KM,3.88,,Suspended
CUST-0135,Bengaluru,Maruti e Vitara,Fixed-Monthly,,2500.0,Active
CUST-0136,Delhi,Tata Punch EV,Fixed-Monthly,,3000.0,Suspended
CUST-0137,Bengaluru,MG Windsor EV,Fixed-Monthly,,1500.0,Defaulted
CUST-0138,Delhi,MG Windsor EV,Pay-Per-KM,4.16,,Active
CUST-0139,Bengaluru,MG Windsor EV,Pay-Per-KM,4.17,,Defaulted
CUST-0140,Bengaluru,Maruti e Vitara,Pay-Per-KM,3.55,,Active
CUST-0141,Bengaluru,Tata Punch EV,Pay-Per-KM,4.43,,Active
CUST-0142,Delhi,Tata Punch EV,Fixed-Monthly,,2000.0,Active
CUST-0143,Bengaluru,Maruti e Vitara,Fixed-Monthly,,2000.0,Suspended
CUST-0144,Pune,Maruti e Vitara,Pay-Per-KM,3.4,,Active
CUST-0145,Pune,Tata Punch EV,Fixed-Monthly,,3000.0,Active
CUST-0146,Delhi,Maruti e Vitara,Pay-Per-KM,4.09,,Suspended
CUST-0147,Delhi,Maruti e Vitara,Fixed-Monthly,,2000.0,Active
CUST-0148,Bengaluru,MG Windsor EV,Pay-Per-KM,3.48,,Active
CUST-0149,Delhi,MG Windsor EV,Fixed-Monthly,,2000.0,Active
CUST-0150,Bengaluru,Tata Punch EV,Pay-Per-KM,4.2,,Active
CUST-0151,Bengaluru,Maruti e Vitara,Pay-Per-KM,3.81,,Active
CUST-0152,Delhi,Tata Punch EV,Pay-Per-KM,3.25,,Defaulted
CUST-0153,Delhi,Maruti e Vitara,Fixed-Monthly,,2500.0,Active
CUST-0154,Bengaluru,MG Windsor EV,Pay-Per-KM,4.42,,Active
CUST-0155,Bengaluru,Tata Punch EV,Fixed-Monthly,,3000.0,Active
CUST-0156,Delhi,MG Windsor EV,Pay-Per-KM,3.35,,Suspended
CUST-0157,Delhi,Tata Punch EV,Fixed-Monthly,,1500.0,Active
CUST-0158,Bengaluru,Tata Punch EV,Fixed-Monthly,,2500.0,Defaulted
CUST-0159,Delhi,Maruti e Vitara,Fixed-Monthly,,3000.0,Suspended
CUST-0160,Delhi,MG Windsor EV,Pay-Per-KM,3.65,,Active
CUST-0161,Delhi,MG Windsor EV,Fixed-Monthly,,1500.0,Defaulted
CUST-0162,Bengaluru,Tata Punch EV,Fixed-Monthly,,1500.0,Suspended
CUST-0163,Delhi,Tata Punch EV,Fixed-Monthly,,2500.0,Defaulted
CUST-0164,Bengaluru,MG Windsor EV,Fixed-Monthly,,3000.0,Suspended
CUST-0165,Delhi,MG Windsor EV,Fixed-Monthly,,1500.0,Active
CUST-0166,Bengaluru,Tata Punch EV,Fixed-Monthly,,2000.0,Active
CUST-0167,Delhi,Tata Punch EV,Pay-Per-KM,3.14,,Suspended
CUST-0168,Delhi,MG Windsor EV,Pay-Per-KM,4.12,,Active
CUST-0169,Pune,Tata Punch EV,Fixed-Monthly,,2000.0,Active
CUST-0170,Delhi,Tata Punch EV,Pay-Per-KM,4.48,,Defaulted
CUST-0171,Bengaluru,Tata Punch EV,Fixed-Monthly,,2500.0,Active
CUST-0172,Bengaluru,MG Windsor EV,Fixed-Monthly,,2000.0,Active
CUST-0173,Delhi,Maruti e Vitara,Pay-Per-KM,2.78,,Defaulted
CUST-0174,Pune,Maruti e Vitara,Fixed-Monthly,,2500.0,Active
CUST-0175,Bengaluru,MG Windsor EV,Pay-Per-KM,3.72,,Defaulted
CUST-0176,Pune,Maruti e Vitara,Fixed-Monthly,,2000.0,Active
CUST-0177,Delhi,MG Windsor EV,Pay-Per-KM,3.89,,Active
CUST-0178,Pune,Tata Punch EV,Fixed-Monthly,,2500.0,Defaulted
CUST-0179,Delhi,Maruti e Vitara,Pay-Per-KM,3.96,,Suspended
CUST-0180,Pune,Tata Punch EV,Fixed-Monthly,,2500.0,Active
CUST-0181,Delhi,Maruti e Vitara,Pay-Per-KM,2.75,,Suspended
CUST-0182,Pune,Maruti e Vitara,Pay-Per-KM,2.77,,Defaulted
CUST-0183,Bengaluru,Maruti e Vitara,Pay-Per-KM,3.2,,Active
CUST-0184,Pune,Tata Punch EV,Pay-Per-KM,4.36,,Active
CUST-0185,Bengaluru,Tata Punch EV,Fixed-Monthly,,3000.0,Active
CUST-0186,Pune,Tata Punch EV,Fixed-Monthly,,2000.0,Active
CUST-0187,Bengaluru,Maruti e Vitara,Fixed-Monthly,,1500.0,Active
CUST-0188,Bengaluru,Maruti e Vitara,Pay-Per-KM,3.65,,Active
CUST-0189,Delhi,MG Windsor EV,Pay-Per-KM,3.19,,Defaulted
CUST-0190,Delhi,Tata Punch EV,Pay-Per-KM,2.66,,Active
CUST-0191,Delhi,Tata Punch EV,Pay-Per-KM,4.2,,Active
CUST-0192,Bengaluru,Tata Punch EV,Pay-Per-KM,2.86,,Active
CUST-0193,Bengaluru,Maruti e Vitara,Fixed-Monthly,,1500.0,Suspended
CUST-0194,Bengaluru,Maruti e Vitara,Pay-Per-KM,3.86,,Active
CUST-0195,Delhi,MG Windsor EV,Fixed-Monthly,,1500.0,Defaulted
CUST-0196,Pune,MG Windsor EV,Fixed-Monthly,,2500.0,Defaulted
CUST-0197,Bengaluru,MG Windsor EV,Fixed-Monthly,,2500.0,Defaulted
CUST-0198,Delhi,Tata Punch EV,Pay-Per-KM,4.31,,Active
CUST-0199,Delhi,Maruti e Vitara,Fixed-Monthly,,2500.0,Active
CUST-0200,Delhi,Maruti e Vitara,Fixed-Monthly,,3000.0,Suspended
CUST-0201,Pune,MG Windsor EV,Fixed-Monthly,,2500.0,Active
CUST-0202,Bengaluru,MG Windsor EV,Fixed-Monthly,,2000.0,Defaulted
CUST-0203,Pune,Maruti e Vitara,Pay-Per-KM,2.88,,Active
CUST-0204,Bengaluru,Maruti e Vitara,Pay-Per-KM,4.48,,Active
CUST-0205,Pune,MG Windsor EV,Pay-Per-KM,4.11,,Defaulted
CUST-0206,Delhi,Maruti e Vitara,Fixed-Monthly,,3000.0,Active
CUST-0207,Bengaluru,Maruti e Vitara,Pay-Per-KM,2.96,,Active
CUST-0208,Delhi,Maruti e Vitara,Pay-Per-KM,4.43,,Suspended
CUST-0209,Pune,MG Windsor EV,Pay-Per-KM,3.59,,Defaulted
CUST-0210,Pune,Maruti e Vitara,Fixed-Monthly,,2000.0,Suspended
CUST-0211,Bengaluru,Tata Punch EV,Fixed-Monthly,,2500.0,Active
CUST-0212,Bengaluru,MG Windsor EV,Fixed-Monthly,,2000.0,Defaulted
CUST-0213,Pune,Tata Punch EV,Fixed-Monthly,,2000.0,Suspended
CUST-0214,Pune,Maruti e Vitara,Fixed-Monthly,,2000.0,Suspended
CUST-0215,Pune,MG Windsor EV,Pay-Per-KM,3.02,,Active
CUST-0216,Bengaluru,Maruti e Vitara,Pay-Per-KM,3.84,,Defaulted
CUST-0217,Delhi,Maruti e Vitara,Fixed-Monthly,,1500.0,Active
CUST-0218,Pune,Tata Punch EV,Pay-Per-KM,4.01,,Defaulted
CUST-0219,Bengaluru,Maruti e Vitara,Fixed-Monthly,,1500.0,Active
CUST-0220,Delhi,MG Windsor EV,Pay-Per-KM,3.69,,Active
CUST-0221,Pune,Tata Punch EV,Fixed-Monthly,,2000.0,Active
CUST-0222,Pune,Maruti e Vitara,Fixed-Monthly,,3000.0,Suspended
CUST-0223,Pune,Maruti e Vitara,Pay-Per-KM,3.41,,Defaulted
CUST-0224,Pune,Maruti e Vitara,Fixed-Monthly,,1500.0,Suspended
CUST-0225,Pune,Maruti e Vitara,Pay-Per-KM,3.07,,Active
CUST-0226,Delhi,MG Windsor EV,Pay-Per-KM,4.46,,Active
CUST-0227,Pune,MG Windsor EV,Fixed-Monthly,,3000.0,Suspended
CUST-0228,Bengaluru,Tata Punch EV,Fixed-Monthly,,2000.0,Active
CUST-0229,Delhi,Maruti e Vitara,Fixed-Monthly,,1500.0,Active
CUST-0230,Pune,MG Windsor EV,Fixed-Monthly,,2500.0,Active
CUST-0231,Pune,Maruti e Vitara,Pay-Per-KM,2.74,,Suspended
CUST-0232,Delhi,Maruti e Vitara,Fixed-Monthly,,2000.0,Active
CUST-0233,Pune,Tata Punch EV,Fixed-Monthly,,2500.0,Active
CUST-0234,Pune,Tata Punch EV,Fixed-Monthly,,2500.0,Active
CUST-0235,Delhi,Maruti e Vitara,Pay-Per-KM,2.77,,Active
CUST-0236,Delhi,MG Windsor EV,Pay-Per-KM,3.18,,Defaulted
CUST-0237,Pune,Maruti e Vitara,Pay-Per-KM,3.96,,Active
CUST-0238,Pune,MG Windsor EV,Pay-Per-KM,4.18,,Active
CUST-0239,Pune,Tata Punch EV,Pay-Per-KM,4.04,,Active
CUST-0240,Bengaluru,Tata Punch EV,Pay-Per-KM,3.32,,Active
CUST-0241,Pune,Maruti e Vitara,Pay-Per-KM,3.73,,Active
CUST-0242,Bengaluru,Tata Punch EV,Pay-Per-KM,2.94,,Suspended
CUST-0243,Delhi,Tata Punch EV,Fixed-Monthly,,1500.0,Active
CUST-0244,Pune,Tata Punch EV,Fixed-Monthly,,3000.0,Defaulted
CUST-0245,Bengaluru,Tata Punch EV,Pay-Per-KM,4.04,,Active
CUST-0246,Bengaluru,MG Windsor EV,Fixed-Monthly,,3000.0,Active
CUST-0247,Delhi,Tata Punch EV,Fixed-Monthly,,1500.0,Defaulted
CUST-0248,Pune,Tata Punch EV,Pay-Per-KM,3.97,,Suspended
CUST-0249,Bengaluru,Tata Punch EV,Pay-Per-KM,3.07,,Active
CUST-0250,Pune,Maruti e Vitara,Fixed-Monthly,,2500.0,Active
CUST-0251,Pune,Maruti e Vitara,Fixed-Monthly,,3000.0,Active
CUST-0252,Pune,MG Windsor EV,Fixed-Monthly,,2000.0,Active
CUST-0253,Pune,Maruti e Vitara,Pay-Per-KM,3.81,,Active
CUST-0254,Bengaluru,Tata Punch EV,Fixed-Monthly,,2500.0,Suspended
CUST-0255,Pune,Tata Punch EV,Pay-Per-KM,2.96,,Defaulted
CUST-0256,Bengaluru,Tata Punch EV,Fixed-Monthly,,2000.0,Active
CUST-0257,Delhi,MG Windsor EV,Fixed-Monthly,,2500.0,Active
CUST-0258,Delhi,MG Windsor EV,Fixed-Monthly,,1500.0,Suspended
CUST-0259,Pune,Maruti e Vitara,Pay-Per-KM,4.41,,Active
CUST-0260,Delhi,Tata Punch EV,Fixed-Monthly,,2000.0,Suspended
CUST-0261,Delhi,MG Windsor EV,Pay-Per-KM,3.68,,Active
CUST-0262,Delhi,MG Windsor EV,Fixed-Monthly,,2500.0,Active
CUST-0263,Pune,Maruti e Vitara,Pay-Per-KM,2.75,,Active
CUST-0264,Bengaluru,Tata Punch EV,Pay-Per-KM,2.76,,Defaulted
CUST-0265,Bengaluru,Tata Punch EV,Pay-Per-KM,3.44,,Active
CUST-0266,Pune,MG Windsor EV,Fixed-Monthly,,2000.0,Active
CUST-0267,Delhi,Tata Punch EV,Fixed-Monthly,,1500.0,Suspended
CUST-0268,Bengaluru,Maruti e Vitara,Fixed-Monthly,,1500.0,Defaulted
CUST-0269,Bengaluru,Tata Punch EV,Fixed-Monthly,,2500.0,Active
CUST-0270,Bengaluru,Tata Punch EV,Fixed-Monthly,,2000.0,Defaulted
CUST-0271,Bengaluru,MG Windsor EV,Fixed-Monthly,,2500.0,Active
CUST-0272,Pune,Maruti e Vitara,Pay-Per-KM,4.32,,Active
CUST-0273,Delhi,Maruti e Vitara,Fixed-Monthly,,2500.0,Active
CUST-0274,Bengaluru,MG Windsor EV,Fixed-Monthly,,1500.0,Active
CUST-0275,Bengaluru,MG Windsor EV,Fixed-Monthly,,2000.0,Suspended
CUST-0276,Bengaluru,MG Windsor EV,Pay-Per-KM,3.58,,Suspended
CUST-0277,Pune,MG Windsor EV,Pay-Per-KM,2.74,,Active
CUST-0278,Bengaluru,Tata Punch EV,Fixed-Monthly,,2500.0,Active
CUST-0279,Bengaluru,MG Windsor EV,Fixed-Monthly,,1500.0,Suspended
CUST-0280,Pune,Maruti e Vitara,Fixed-Monthly,,2500.0,Active
CUST-0281,Delhi,MG Windsor EV,Pay-Per-KM,2.71,,Defaulted
CUST-0282,Pune,Maruti e Vitara,Pay-Per-KM,3.7,,Defaulted
CUST-0283,Delhi,Maruti e Vitara,Pay-Per-KM,3.76,,Defaulted
CUST-0284,Pune,Tata Punch EV,Pay-Per-KM,3.23,,Suspended
CUST-0285,Delhi,Maruti e Vitara,Pay-Per-KM,2.95,,Active
CUST-0286,Bengaluru,Maruti e Vitara,Fixed-Monthly,,3000.0,Active
CUST-0287,Delhi,Tata Punch EV,Pay-Per-KM,2.82,,Active
CUST-0288,Bengaluru,Tata Punch EV,Pay-Per-KM,3.7,,Active
CUST-0289,Pune,MG Windsor EV,Pay-Per-KM,4.23,,Active
CUST-0290,Delhi,Tata Punch EV,Pay-Per-KM,2.89,,Suspended
CUST-0291,Bengaluru,Maruti e Vitara,Pay-Per-KM,4.04,,Active
CUST-0292,Pune,Maruti e Vitara,Fixed-Monthly,,1500.0,Active
CUST-0293,Bengaluru,Maruti e Vitara,Fixed-Monthly,,2000.0,Active
CUST-0294,Pune,Maruti e Vitara,Fixed-Monthly,,2000.0,Active
CUST-0295,Pune,Maruti e Vitara,Pay-Per-KM,3.86,,Active
CUST-0296,Pune,MG Windsor EV,Pay-Per-KM,3.13,,Defaulted
CUST-0297,Pune,Maruti e Vitara,Fixed-Monthly,,2500.0,Active
CUST-0298,Pune,Tata Punch EV,Pay-Per-KM,4.46,,Defaulted
CUST-0299,Delhi,Maruti e Vitara,Pay-Per-KM,3.77,,Suspended
CUST-0300,Delhi,Tata Punch EV,Fixed-Monthly,,1500.0,Active
CUST-0301,Pune,Tata Punch EV,Fixed-Monthly,,1500.0,Active
CUST-0302,Pune,MG Windsor EV,Fixed-Monthly,,2000.0,Active
CUST-0303,Pune,MG Windsor EV,Fixed-Monthly,,2500.0,Defaulted
CUST-0304,Delhi,Maruti e Vitara,Pay-Per-KM,3.12,,Active
CUST-0305,Delhi,Maruti e Vitara,Fixed-Monthly,,2500.0,Active
CUST-0306,Pune,MG Windsor EV,Pay-Per-KM,2.83,,Active
CUST-0307,Delhi,MG Windsor EV,Fixed-Monthly,,2500.0,Defaulted
CUST-0308,Bengaluru,Maruti e Vitara,Fixed-Monthly,,2500.0,Active
CUST-0309,Delhi,MG Windsor EV,Pay-Per-KM,3.02,,Suspended
CUST-0310,Bengaluru,MG Windsor EV,Fixed-Monthly,,3000.0,Active
CUST-0311,Pune,Tata Punch EV,Pay-Per-KM,4.13,,Active
CUST-0312,Delhi,Maruti e Vitara,Fixed-Monthly,,2500.0,Active
CUST-0313,Bengaluru,MG Windsor EV,Pay-Per-KM,2.9,,Suspended
CUST-0314,Delhi,Tata Punch EV,Pay-Per-KM,4.38,,Active
CUST-0315,Pune,MG Windsor EV,Fixed-Monthly,,2000.0,Suspended
CUST-0316,Delhi,MG Windsor EV,Fixed-Monthly,,2000.0,Active
CUST-0317,Delhi,MG Windsor EV,Pay-Per-KM,4.38,,Active
CUST-0318,Bengaluru,Tata Punch EV,Fixed-Monthly,,2000.0,Defaulted
CUST-0319,Delhi,Tata Punch EV,Pay-Per-KM,3.01,,Active
CUST-0320,Bengaluru,Maruti e Vitara,Pay-Per-KM,3.79,,Active
CUST-0321,Bengaluru,Maruti e Vitara,Pay-Per-KM,3.2,,Suspended
CUST-0322,Pune,Maruti e Vitara,Fixed-Monthly,,2000.0,Active
CUST-0323,Delhi,MG Windsor EV,Pay-Per-KM,4.33,,Active
CUST-0324,Pune,Maruti e Vitara,Pay-Per-KM,3.61,,Suspended
CUST-0325,Pune,Maruti e Vitara,Fixed-Monthly,,3000.0,Active
CUST-0326,Bengaluru,Tata Punch EV,Pay-Per-KM,3.92,,Defaulted
CUST-0327,Delhi,MG Windsor EV,Fixed-Monthly,,2500.0,Active
CUST-0328,Bengaluru,Maruti e Vitara,Fixed-Monthly,,1500.0,Active
CUST-0329,Bengaluru,MG Windsor EV,Fixed-Monthly,,3000.0,Active
CUST-0330,Pune,Maruti e Vitara,Pay-Per-KM,3.88,,Defaulted
CUST-0331,Delhi,Maruti e Vitara,Fixed-Monthly,,2000.0,Suspended
CUST-0332,Bengaluru,MG Windsor EV,Pay-Per-KM,4.34,,Defaulted
CUST-0333,Bengaluru,Maruti e Vitara,Pay-Per-KM,2.84,,Suspended
CUST-0334,Delhi,Maruti e Vitara,Pay-Per-KM,4.06,,Defaulted
CUST-0335,Bengaluru,Maruti e Vitara,Pay-Per-KM,3.4,,Active
CUST-0336,Delhi,Tata Punch EV,Pay-Per-KM,3.33,,Active
